CiteScore metrics calculated using data from 30 April, 2018. SNIP and SJR calculated using data from 30 April, 2018																				
Scopus SourceID	Title	CiteScore	Percentile	Citation Count	Scholarly Output	Percent Cited	SNIP	SJR	RANK	Rank Out Of	Publisher	Type	OpenAccess	Scopus ASJC Code (Sub-subject Area)	Scopus Sub-Subject Area	Quartile	Top 10% (CiteScore Percentile)	Scopus SourceID	Print-ISSN	E-ISSN
15392	Journal of Business and Psychology	3.30	91	488	148	72	1.906	1.735	28	340	Springer Nature	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/15392	08893268	1573353X
19700201522	Journal of Business Logistics	3.30	96	304	92	78	1.348	2.089	3	77	Wiley-Blackwell	Journal	NO	1401	Business, Management and Accounting (miscellaneous)	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19700201522	07353766	21581592
4700152638	Review of International Organizations	3.29	91	184	56	70	2.738	3.327	46	564	Springer Nature	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/4700152638	15597431	1559744X
12100156754	Sport Management Review	3.28	91	443	135	79	1.694	1.159	29	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/12100156754	14413523	
110031	Resources Policy	3.27	91	894	273	81	1.771	1.024	47	564	Elsevier	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/110031	03014207	
28096	Accounting Review	3.24	94	796	246	78	2.608	3.946	12	226	American Accounting Association	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/28096	00014826	
28096	Accounting Review	3.24	91	796	246	78	2.608	3.946	48	564	American Accounting Association	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/28096	00014826	
23665	International Business Review	3.20	94	990	309	79	1.610	1.012	13	226	Elsevier	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/23665	09695931	
23665	International Business Review	3.20	91	990	309	79	1.610	1.012	30	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/23665	09695931	
29170	Critical Perspectives on Accounting	3.18	94	560	176	77	1.953	1.773	14	226	Elsevier	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/29170	10452354	10959955
24353	Journal of Economic Surveys	3.12	91	412	132	68	2.465	1.462	49	564	Wiley-Blackwell	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/24353	09500804	14676419
25654	Post-Soviet Affairs	3.11	91	224	72	72	3.003	2.411	50	564	Taylor & Francis	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/25654	1060586X	
144651	Journal of Technology Transfer	3.10	91	512	165	81	1.429	1.358	31	340	Springer Nature	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/144651	08929912	
19600161806	Journal of Family Business Strategy	3.07	91	267	87	72	1.631	1.280	51	564	Elsevier	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19600161806	18778585	
19600166404	Innovation Policy and the Economy	3.05	90	58	19	68	2.536	1.956	52	564	University of Chicago Press	Book Series	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19600166404	15313468	15372618
19600157911	Electronic Markets	3.00	90	267	89	67	1.269	0.834	32	340	Springer Nature	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19600157911	10196781	
19600157911	Electronic Markets	3.00	90	267	89	67	1.269	0.834	53	564	Springer Nature	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/19600157911	10196781	
21100228536	Journal of Destination Marketing and Management	2.98	90	298	100	78	1.534	1.148	33	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/21100228536	2212571X	
20209	Business Horizons	2.96	90	676	228	60	1.943	1.240	34	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/20209	00076813	
22839	International Marketing Review	2.96	90	278	94	69	1.385	0.895	34	340	Emerald	Journal	NO	1403	Business and International Management	Quartile 1	Top 10%	https://www.scopus.com/sourceid/22839	02651335	
18034	World Bank Research Observer	2.92	90	76	26	77	2.496	2.644	54	564	Oxford University Press	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/18034	02573032	15646971
20193	Business Ethics	2.92	90	283	97	81	1.368	0.924	54	564	Wiley-Blackwell	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/20193	09628770	
20193	Business Ethics	2.92	89	283	97	81	1.368	0.924	36	340	Wiley-Blackwell	Journal	NO	1403	Business and International Management	Quartile 1		https://www.scopus.com/sourceid/20193	09628770	
23859	Journal of Business Ethics	2.91	90	2811	966	76	1.639	1.276	56	564	Springer Nature	Journal	NO	2002	Economics and Econometrics	Quartile 1	Top 10%	https://www.scopus.com/sourceid/23859	01674544	15730697
23859	Journal of Business Ethics	2.91	89	2811	966	76	1.639	1.276	37	340	Springer Nature	Journal	NO	1403	Business and International Management	Quartile 1		https://www.scopus.com/sourceid/23859	01674544	15730697
145707	Technological and Economic Development of Economy	2.90	93	458	158	75	1.391	0.941	15	226	Taylor & Francis	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/145707	20294913	20294921
19700200703	Annual Review of Resource Economics	2.89	89	205	71	77	1.526	1.674	57	564	Annual Reviews Inc.	Journal	NO	2002	Economics and Econometrics	Quartile 1		https://www.scopus.com/sourceid/19700200703	19411340	
20143	Business and Society	2.88	95	294	102	69	1.820	1.707	4	77	SAGE	Journal	NO	1401	Business, Management and Accounting (miscellaneous)	Quartile 1	Top 10%	https://www.scopus.com/sourceid/20143	00076503	
19700182654	Project Management Journal	2.88	88	340	118	68	2.160	0.803	38	340	Wiley-Blackwell	Journal	NO	1403	Business and International Management	Quartile 1		https://www.scopus.com/sourceid/19700182654	87569728	
21100203106	Foundations and Trends in Finance	2.86	93	20	7	100	1.608	3.695	16	226	Now Publishers Inc.	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/21100203106	15672395	15672409
21100203106	Foundations and Trends in Finance	2.86	89	20	7	100	1.608	3.695	58	564	Now Publishers Inc.	Journal	NO	2002	Economics and Econometrics	Quartile 1		https://www.scopus.com/sourceid/21100203106	15672395	15672409
5700161512	Journal of Consumer Culture	2.80	89	232	83	69	1.809	0.992	59	564	SAGE	Journal	NO	2002	Economics and Econometrics	Quartile 1		https://www.scopus.com/sourceid/5700161512	14695405	17412900
5700161512	Journal of Consumer Culture	2.80	88	232	83	69	1.809	0.992	39	340	SAGE	Journal	NO	1403	Business and International Management	Quartile 1		https://www.scopus.com/sourceid/5700161512	14695405	17412900
20022	Economic Policy	2.79	89	148	53	70	2.704	3.584	60	564	Oxford University Press	Journal	NO	2002	Economics and Econometrics	Quartile 1		https://www.scopus.com/sourceid/20022	02664658	14680327
26043	Economy and Society	2.69	89	207	77	66	1.852	1.036	61	564	Taylor & Francis	Journal	NO	2002	Economics and Econometrics	Quartile 1		https://www.scopus.com/sourceid/26043	03085147	14695766
18173	Mathematical Finance	2.68	92	241	90	71	2.549	2.830	17	226	Wiley-Blackwell	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/18173	09601627	14679965
18173	Mathematical Finance	2.68	89	241	90	71	2.549	2.830	62	564	Wiley-Blackwell	Journal	NO	2002	Economics and Econometrics	Quartile 1		https://www.scopus.com/sourceid/18173	09601627	14679965
69623	American Journal of Agricultural Economics	2.67	88	669	251	72	1.704	2.113	63	564	Oxford University Press	Journal	NO	2002	Economics and Econometrics	Quartile 1		https://www.scopus.com/sourceid/69623	00029092	
17472	Journal of Banking and Finance	2.66	92	2064	775	72	1.909	1.503	18	226	Elsevier	Journal	NO	2003	Finance	Quartile 1	Top 10%	https://www.scopus.com/sourceid/17472	03784266	
17472	Journal of Banking and Finance	2.66	88	2064	775	72	1.909	1.503	64	564	Elsevier	Journal	NO	2002	Economics and Econometrics	Quartile 1		https://www.scopus.com/sourceid/17472	03784266	
19875	Journal of Common Market Studies	2.65	88	763	288	72	1.778	1.873	40	340	Wiley-Blackwell	Journal	NO	1403	Business and International Management	Quartile 1		https://www.scopus.com/sourceid/19875	00219886	14685965
19875	Journal of Common Market Studies	2.65	88	763	288	72	1.778	1.873	65	564	Wiley-Blackwell	Journal	NO	2002	Economics and Econometrics	Quartile 1		https://www.scopus.com/sourceid/19875	00219886	14685965
22706	International Journal of Forecasting	2.65	88	765	289	65	1.737	1.879	40	340	Elsevier	Journal	NO	1403	Business and International Management	Quartile 1		https://www.scopus.com/sourceid/22706	01692070	
